sex,age,age_cat,decile_score,v_decile_score,is_recid,is_violent_recid,score_text,screening_date,two_year_recid,priors_count,c_charge_degree,start,end,event,person_id,agency_text,ethnic_code_text,maritalstatus,language
male,96,greater than 45,2,1,1,0,low,2014-03-31,1,2,felony,0,178,1,62384.0,pretrial,hispanic,widowed,english
male,83,greater than 45,1,1,0,0,low,2013-08-08,0,4,felony,0,967,0,56279.0,pretrial,caucasian,divorced,english
male,83,greater than 45,1,1,0,0,low,2013-01-06,0,0,misdemeanor,1,1181,0,50959.0,pretrial,hispanic,married,english
male,80,greater than 45,1,1,0,0,low,2013-03-18,0,0,misdemeanor,0,1110,0,53038.0,pretrial,caucasian,married,english
male,79,greater than 45,1,1,0,0,low,2013-07-29,0,1,misdemeanor,0,977,0,56006.0,probation,caucasian,divorced,english
male,77,greater than 45,1,1,0,0,low,2013-10-02,0,0,misdemeanor,0,912,0,57794.0,pretrial,african-american,married,english
male,77,greater than 45,1,1,0,0,low,2013-03-06,0,3,felony,0,1122,0,52757.0,pretrial,caucasian,divorced,english
male,77,greater than 45,1,1,1,1,low,2014-04-01,1,1,misdemeanor,1,692,1,62414.0,pretrial,african-american,married,english
male,77,greater than 45,1,1,0,0,low,2013-08-19,0,1,misdemeanor,2,956,0,56536.0,pretrial,caucasian,single,english
male,76,greater than 45,1,1,0,0,low,2013-10-04,0,0,felony,0,910,0,57847.0,pretrial,arabic,single,english
male,75,greater than 45,4,1,1,0,low,2013-07-17,1,1,felony,0,653,1,55835.0,pretrial,caucasian,married,english
male,75,greater than 45,1,1,0,0,low,2014-02-11,0,2,misdemeanor,0,780,0,39395.0,probation,caucasian,married,english
male,75,greater than 45,1,1,0,0,low,2013-08-05,0,1,felony,0,970,0,56183.0,pretrial,hispanic,married,english
female,75,greater than 45,1,1,0,0,low,2013-08-01,0,5,felony,0,974,0,56070.0,pretrial,african-american,single,english
female,74,greater than 45,1,1,0,0,low,2013-11-07,0,0,felony,0,876,0,58790.0,pretrial,african-american,single,english
male,74,greater than 45,1,1,0,0,low,2013-03-07,0,2,felony,9,1121,0,52768.0,pretrial,caucasian,widowed,english
female,74,greater than 45,1,1,0,0,low,2013-11-15,0,0,misdemeanor,0,868,0,59024.0,pretrial,caucasian,widowed,english
male,74,greater than 45,1,1,0,0,low,2013-10-20,0,0,misdemeanor,1,894,0,58245.0,pretrial,caucasian,single,english
male,74,greater than 45,1,1,0,0,low,2013-01-11,0,0,misdemeanor,0,1176,0,51097.0,pretrial,caucasian,single,english
